Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,Diverted
2007,10,1,5,904,1217,DL,N102UA,194.0,193.0,176.0,6.0,4.0,ORD,MCO,1351.0,0,0
2007,5,21,2,2052,2304,WN,N861DL,137.0,132.0,110.0,-25.0,-20.0,SFO,ATL,964.0,0,0
2007,6,13,2,605,1138,UA,N104US,327.0,333.0,321.0,54.0,52.0,SFO,JFK,2246.0,0,0
2007,12,21,7,2315,431,WN,N180DL,319.0,316.0,293.0,53.0,54.0,ORD,ATL,2135.0,0,0
2007,10,25,6,1706,1837,US,N130UA,88.0,91.0,70.0,-7.0,2.0,JFK,ATL,668.0,0,0
2007,12,22,5,859,1343,DL,N172DL,273.0,284.0,267.0,31.0,43.0,MCO,DFW,2038.0,0,0
2007,5,12,6,344,435,US,N376WN,50.0,51.0,40.0,42.0,55.0,PHX,DEN,356.0,0,0
2007,9,7,4,1629,1933,AA,N167WN,182.0,184.0,170.0,-26.0,-20.0,SEA,ATL,1358.0,0,0
2007,12,24,5,928,1458,DL,N331US,331.0,330.0,313.0,-63.0,-64.0,DEN,SFO,2163.0,0,0
2007,8,21,3,2026,149,WN,N114WN,328.0,323.0,300.0,-8.0,-6.0,SFO,PHX,2142.0,0,0
2007,11,10,7,1955,2306,WN,N125US,186.0,191.0,172.0,44.0,39.0,ATL,ORD,1312.0,0,0
2007,9,15,7,1326,1809,UA,N940AA,285.0,283.0,264.0,38.0,34.0,ORD,PHX,1868.0,0,0
2007,9,3,4,1606,1810,AA,N172DL,125.0,124.0,104.0,-5.0,-3.0,JFK,DFW,890.0,0,0
2007,5,2,2,15,134,US,N167WN,80.0,79.0,61.0,-11.0,-15.0,SEA,ORD,577.0,0,0
2007,11,12,5,1346,1700,WN,N672WN,192.0,194.0,170.0,27.0,42.0,DEN,SFO,1342.0,0,0
2007,2,3,2,511,1032,UA,N672WN,323.0,321.0,305.0,35.0,40.0,DEN,SFO,2289.0,0,0
2007,7,19,1,124,210,UA,N369DL,41.0,46.0,33.0,1.0,5.0,DEN,SFO,314.0,0,0
2007,9,8,5,1455,2044,US,N831WN,349.0,349.0,332.0,38.0,24.0,SEA,DFW,2471.0,0,0
2007,11,28,1,1157,1745,DL,N167WN,341.0,348.0,332.0,20.0,7.0,ORD,LAX,2370.0,0,0
2007,7,24,3,325,437,US,N479DL,72.0,72.0,55.0,14.0,18.0,DFW,DEN,505.0,0,0
2007,5,9,1,1600,1915,AA,N703UA,191.0,195.0,176.0,-48.0,-49.0,SEA,SFO,1308.0,0,0
2007,4,12,5,133,541,AA,N454UA,249.0,248.0,227.0,53.0,69.0,LAX,MCO,1725.0,0,0
